publishedAt,title,description,thumbnailurl
2018-02-28T17:00:42Z,The Original Orange Chicken by Panda Express,Check us out on Facebook! - facebook.com/buzzfeedtasty Credits: https://www.buzzfeed.com/bfmp/videos/45269 MUSIC Licensed via Audio Network Check us ...,https://i.ytimg.com/vi/5Sa9nYKiYg0/default.jpg
2016-02-25T22:23:40Z,Chicken Pot Pie (As Made By Wolfgang Puck),"Recipe! 2 pounds cooked boneless, skinless chicken, shredded Salt Freshly ground black pepper 4 tablespoons vegetable oil 4 tablespoons unsalted butter, ...",https://i.ytimg.com/vi/_eOA-zawYEA/default.jpg
2019-08-30T17:23:46Z,Time To Cook,,https://i.ytimg.com/vi/AVZGNiHV2NQ/default.jpg
2019-11-15T21:19:03Z,Eating Your Feed,,https://i.ytimg.com/vi/c989XY-icko/default.jpg
2019-01-04T21:37:02Z,Food Challenges,,https://i.ytimg.com/vi/Il92l3noBRc/default.jpg
2018-07-22T16:00:19Z,The Most Fool-Proof Macarons You&#39;ll Ever Make,Check us out on Facebook! - facebook.com/buzzfeedtasty Credits: https://www.buzzfeed.com/bfmp/videos/46521 MUSIC SFX Provided By AudioBlocks ...,https://i.ytimg.com/vi/MjVgIXccYXA/default.jpg
2017-06-03T16:00:43Z,The Best Fudgy Brownies Ever! • Tasty,"Super chocolatey, chewy, and fudgy. Here is what you'll need! The Best Fudgy Brownies Servings: 9 INGREDIENTS 8 ounces good-quality chocolate ¾ cup ...",https://i.ytimg.com/vi/lIb_741_dIw/default.jpg
2018-02-02T17:00:15Z,Galaxy Mirror Glaze Cake: Behind Tasty,Check us out on Facebook! - facebook.com/buzzfeedtasty Credits: https://www.buzzfeed.com/bfmp/videos/43071 MUSIC Licensed via Audio Network.,https://i.ytimg.com/vi/zS5-hxARjJo/default.jpg
2018-02-07T16:00:20Z,Migos x Tasty Whip Up Stir Fry,Check us out on Facebook! - facebook.com/buzzfeedtasty Credits: https://www.buzzfeed.com/bfmp/videos/46898.,https://i.ytimg.com/vi/mcsTWPSMDtg/default.jpg
2018-05-05T16:00:47Z,We Tried To Re-Create This Cheese-Covered Burger,"""This week Andrew and Niki cover a burger in cheese! Make sure to check out new episodes of Eating Your Feed every Saturday."" Check us out on Facebook!",https://i.ytimg.com/vi/dKccvk36atQ/default.jpg
2016-06-30T17:00:00Z,Spaghetti Squash 4 Ways,"Breakfast Spaghetti Squash (Bacon & Egg) Serving Size: 4 INGREDIENTS 1 spaghetti squash oil, to brush salt and pepper, to season 1/2 cup of bacon, ...",https://i.ytimg.com/vi/CXuNaKShob0/default.jpg
2017-11-27T20:00:18Z,Which Celebrity Makes The Best Mashed Potatoes?,We try to find the best celebrity mashed potato recipe Check us out on Facebook! - facebook.com/buzzfeedtasty Credits: ...,https://i.ytimg.com/vi/UwrEagOwoBA/default.jpg
2017-01-26T17:00:04Z,Tasty Nacho Cook-Off,"Here is what you'll need! STEAK AND POTATO NACHOS Serves 4 - 6 INGREDIENTS 2 russet potatoes, sliced 1 pound skirt steak 4 tablespoons olive oil Salt, ...",https://i.ytimg.com/vi/rKhYDgs_ncc/default.jpg
2017-06-10T22:00:03Z,Loaded Baked Potatoes 4 Ways,Here is what you'll need! LOADED BAKED POTATOES 4 WAYS Bacon Cheddar Baked Potato Servings: 3 INGREDIENTS 3 russet potatoes 2 tablespoons olive ...,https://i.ytimg.com/vi/9gsuZvX7GpU/default.jpg
2018-03-03T02:00:14Z,Wolfgang Puck’s Oscar Worthy Dishes,Here is what you'll need! Salmon with Pesto Veggie Noodles by Wolfgang Puck Servings: 2 INGREDIENTS 1 shallot 2 cloves garlic 5 large leaves basil ¼ bunch ...,https://i.ytimg.com/vi/ONZAeOIqsjA/default.jpg
